product_key,product_id,category,sub-category,product_name
111,OFF-BI-10004654,Office Supplies,Binders,VariCap6 Expandable Binder
112,OFF-ST-10002583,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes
113,FUR-FU-10002111,Furniture,Furnishings,"Master Caster Door Stop, Large Brown"
114,OFF-AR-10003560,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters
115,OFF-AR-10003631,Office Supplies,Art,Staples in misc. colors
116,TEC-AC-10000736,Technology,Accessories,Logitech G600 MMO Gaming Mouse
117,OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector
118,OFF-SU-10000157,Office Supplies,Supplies,Compact Automatic Electric Letter Opener
119,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
120,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
121,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand"
122,FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany"
123,OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers
124,OFF-BI-10001543,Office Supplies,Binders,GBC VeloBinder Manual Binding System
125,OFF-PA-10002120,Office Supplies,Paper,Xerox 1889
126,TEC-PH-10004700,Technology,Phones,PowerGen Dual USB Car Charger
127,OFF-BI-10003429,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips"
128,OFF-PA-10002259,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11"""
129,OFF-AP-10001154,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer
130,OFF-AR-10003829,Office Supplies,Art,Newell 35
131,OFF-BI-10000136,Office Supplies,Binders,Avery Non-Stick Heavy Duty View Round Locking Ring Binders
132,FUR-FU-10003981,Furniture,Furnishings,Eldon Wave Desk Accessories
133,OFF-FA-10001561,Office Supplies,Fasteners,Stockwell Push Pins
134,OFF-ST-10001370,Office Supplies,Storage,Sensible Storage WireTech Storage Systems
135,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
136,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers
137,OFF-AR-10003723,Office Supplies,Art,Avery Hi-Liter Fluorescent Desk Style Markers
138,OFF-AR-10001044,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black"
139,OFF-BI-10004390,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine
140,OFF-AP-10002765,Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors
141,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops
142,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables
143,FUR-TA-10004175,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer"
144,OFF-PA-10002960,Office Supplies,Paper,Xerox 1926
145,OFF-PA-10000919,Office Supplies,Paper,Xerox 1918
146,FUR-CH-10002439,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h"
147,TEC-MA-10003626,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer
148,TEC-MA-10002412,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit
149,OFF-AR-10003183,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set
150,FUR-FU-10004270,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock"
151,OFF-FA-10003112,Office Supplies,Fasteners,Staples
152,FUR-FU-10001986,Furniture,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36"""
153,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs
154,OFF-PA-10002581,Office Supplies,Paper,Xerox 1951
155,FUR-CH-10001482,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat
156,OFF-AR-10001915,Office Supplies,Art,Peel-Off China Markers
157,OFF-PA-10002137,Office Supplies,Paper,"Southworth 100% Résumé Paper, 24lb."
158,TEC-PH-10002415,Technology,Phones,Polycom VoiceStation 500 Conference phone
159,OFF-ST-10000585,Office Supplies,Storage,Economy Rollaway Files
160,TEC-PH-10003484,Technology,Phones,Ooma Telo VoIP Home Phone System
161,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
162,OFF-AR-10001374,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip"
163,OFF-PA-10004948,Office Supplies,Paper,Xerox 190
164,OFF-BI-10001617,Office Supplies,Binders,GBC Wire Binding Combs
165,OFF-ST-10000736,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black
166,TEC-AC-10004877,Technology,Accessories,Imation 30456 USB Flash Drive 8GB
167,OFF-ST-10003221,Office Supplies,Storage,Staple magnet
168,OFF-BI-10003007,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11"""
169,OFF-BI-10003529,Office Supplies,Binders,Avery Round Ring Poly Binders
170,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
171,OFF-AR-10001427,Office Supplies,Art,Newell 330
172,OFF-ST-10002344,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit"
173,OFF-BI-10002071,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings
174,TEC-AC-10004901,Technology,Accessories,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver
175,OFF-AR-10003732,Office Supplies,Art,Newell 333
176,OFF-PA-10002195,Office Supplies,Paper,Xerox 1966
177,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967
178,OFF-BI-10004224,Office Supplies,Binders,Catalog Binders with Expanding Posts
179,OFF-ST-10002957,Office Supplies,Storage,Sterilite Show Offs Storage Containers
180,OFF-LA-10002312,Office Supplies,Labels,Avery 490
181,OFF-ST-10002301,Office Supplies,Storage,Tennsco Commercial Shelving
182,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements
183,TEC-PH-10003655,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4
184,OFF-AR-10001231,Office Supplies,Art,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2"
185,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors"
186,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases
187,FUR-BO-10004218,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order"
188,TEC-PH-10004667,Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System
189,OFF-LA-10000443,Office Supplies,Labels,Avery 501
190,OFF-ST-10000918,Office Supplies,Storage,Crate-A-Files
191,FUR-FU-10002508,Furniture,Furnishings,Document Clip Frames
192,TEC-AC-10002647,Technology,Accessories,"Logitech Wireless Boombox Speaker - portable - wireless, wired"
193,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair
194,OFF-PA-10003036,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book"
195,OFF-LA-10004484,Office Supplies,Labels,Avery 476
196,OFF-AP-10002578,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote"
197,TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B
198,OFF-PA-10000213,Office Supplies,Paper,Xerox 198
199,OFF-LA-10000305,Office Supplies,Labels,Avery 495
200,OFF-ST-10002486,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins
201,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table
202,FUR-FU-10004597,Furniture,Furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets
203,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder
204,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator
205,OFF-BI-10000309,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black"
206,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957
207,OFF-PA-10003063,Office Supplies,Paper,EcoTones Memo Sheets
208,OFF-AP-10003971,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip
209,TEC-PH-10000730,Technology,Phones,Samsung Galaxy S4 Active
210,OFF-LA-10004409,Office Supplies,Labels,Avery 492
211,OFF-PA-10000675,Office Supplies,Paper,Xerox 1919
212,OFF-AR-10001573,Office Supplies,Art,American Pencil
213,OFF-BI-10001597,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue"
214,OFF-EN-10002230,Office Supplies,Envelopes,Airmail Envelopes
215,TEC-PH-10001819,Technology,Phones,Innergie mMini Combo Duo USB Travel Charging Kit
216,FUR-CH-10002304,Furniture,Chairs,"Global Stack Chair without Arms, Black"
217,FUR-FU-10002813,Furniture,Furnishings,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size"
218,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
219,FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables
220,OFF-FA-10004395,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth
221,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair
222,OFF-ST-10001469,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer
223,OFF-PA-10003641,Office Supplies,Paper,Xerox 1909
224,OFF-AR-10001770,Office Supplies,Art,Economy #2 Pencils
225,FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases
226,OFF-LA-10004544,Office Supplies,Labels,Avery 505
227,FUR-FU-10001473,Furniture,Furnishings,DAX Wood Document Frame
228,OFF-ST-10001511,Office Supplies,Storage,Space Solutions Commercial Steel Shelving
229,TEC-PH-10003273,Technology,Phones,AT&T TR1909W
230,OFF-AR-10000588,Office Supplies,Art,Newell 345
231,TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930
232,OFF-SU-10000381,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles
233,OFF-PA-10001878,Office Supplies,Paper,Xerox 1891
234,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut"
235,OFF-AR-10004272,Office Supplies,Art,Newell 308
236,TEC-PH-10004100,Technology,Phones,Griffin GC17055 Auxiliary Audio Cable
237,OFF-AR-10003338,Office Supplies,Art,"Eberhard Faber 3 1/2"" Golf Pencils"
238,TEC-AC-10002558,Technology,Accessories,Imation Swivel Flash Drive USB flash drive - 8 GB
239,OFF-AR-10000034,Office Supplies,Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack"
240,OFF-PA-10001215,Office Supplies,Paper,Xerox 1963
241,OFF-PA-10000176,Office Supplies,Paper,Xerox 1887
242,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
243,OFF-BI-10001636,Office Supplies,Binders,Ibico Plastic and Wire Spiral Binding Combs
244,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder
245,OFF-ST-10000934,Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System"
246,FUR-CH-10002780,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms
247,FUR-CH-10004495,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black"
248,OFF-LA-10001982,Office Supplies,Labels,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set
249,OFF-AR-10000122,Office Supplies,Art,Newell 314
250,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
251,OFF-FA-10002780,Office Supplies,Fasteners,Staples
252,TEC-PH-10000702,Technology,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White"
253,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box"
254,OFF-BI-10003719,Office Supplies,Binders,Large Capacity Hanging Post Binders
255,FUR-FU-10001424,Furniture,Furnishings,Dax Clear Box Frame
256,OFF-BI-10002976,Office Supplies,Binders,ACCOHIDE Binder by Acco
257,OFF-BI-10000042,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2"""
258,OFF-SU-10004498,Office Supplies,Supplies,Martin-Yale Premier Letter Opener
259,FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table
260,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB
261,OFF-BI-10004876,Office Supplies,Binders,Wilson Jones Suede Grain Vinyl Binders
262,OFF-LA-10001641,Office Supplies,Labels,Avery 518
263,OFF-PA-10003543,Office Supplies,Paper,Xerox 1985
264,OFF-AR-10002221,Office Supplies,Art,12 Colored Short Pencils
265,OFF-BI-10001628,Office Supplies,Binders,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity"
266,OFF-ST-10000877,Office Supplies,Storage,Recycled Steel Personal File for Standard File Folders
267,OFF-AR-10004752,Office Supplies,Art,Blackstonian Pencils
268,OFF-LA-10000452,Office Supplies,Labels,Avery 488
269,FUR-CH-10004886,Furniture,Chairs,Bevis Steel Folding Chairs
270,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
271,TEC-PH-10004531,Technology,Phones,AT&T CL2909
272,TEC-PH-10001557,Technology,Phones,Pyle PMP37LED
273,TEC-PH-10000576,Technology,Phones,AT&T 1080 Corded phone
274,OFF-BI-10002764,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge
275,OFF-AR-10004757,Office Supplies,Art,Crayola Colored Pencils
276,OFF-AR-10000127,Office Supplies,Art,Newell 321
277,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener
278,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets
279,FUR-FU-10002191,Furniture,Furnishings,G.E. Halogen Desk Lamp Bulbs
280,FUR-FU-10004415,Furniture,Furnishings,"Stacking Tray, Side-Loading, Legal, Smoke"
281,TEC-MA-10002859,Technology,Machines,Ativa MDM8000 8-Sheet Micro-Cut Shredder
282,OFF-AR-10000657,Office Supplies,Art,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box"
283,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head"
284,OFF-LA-10001613,Office Supplies,Labels,Avery File Folder Labels
285,OFF-ST-10002214,Office Supplies,Storage,X-Rack File for Hanging Folders
286,OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B"
287,OFF-FA-10001332,Office Supplies,Fasteners,"Acco Banker's Clasps, 5 3/4""-Long"
288,OFF-PA-10000029,Office Supplies,Paper,Xerox 224
289,TEC-AC-10001874,Technology,Accessories,Logitech Wireless Anywhere Mouse MX for PC and Mac
290,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC
291,OFF-PA-10004733,Office Supplies,Paper,Things To Do Today Spiral Book
292,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black"
293,OFF-ST-10001031,Office Supplies,Storage,Adjustable Personal File Tote
294,FUR-FU-10004020,Furniture,Furnishings,Advantus Panel Wall Acrylic Frame
295,OFF-AR-10001955,Office Supplies,Art,Newell 319
296,OFF-PA-10000100,Office Supplies,Paper,Xerox 1945
297,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
298,OFF-AP-10001391,Office Supplies,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center
299,FUR-CH-10003973,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs
300,FUR-FU-10004017,Furniture,Furnishings,"Executive Impressions 13"" Chairman Wall Clock"
301,OFF-BI-10004817,Office Supplies,Binders,GBC Personal VeloBind Strips
302,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders
303,TEC-PH-10001835,Technology,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker
304,TEC-AC-10002550,Technology,Accessories,Maxell 4.7GB DVD-RW 3/Pack
305,FUR-TA-10000688,Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base"
306,TEC-AC-10003441,Technology,Accessories,Kingston Digital DataTraveler 32GB USB 2.0
307,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table
308,OFF-ST-10004634,Office Supplies,Storage,"Personal Folder Holder, Ebony"
309,FUR-TA-10004442,Furniture,Tables,Riverside Furniture Stanwyck Manor Table Series
310,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving
311,TEC-AC-10002926,Technology,Accessories,Logitech Wireless Marathon Mouse M705
312,OFF-PA-10003797,Office Supplies,Paper,Xerox 209
313,OFF-PA-10004248,Office Supplies,Paper,Xerox 1990
314,TEC-PH-10001128,Technology,Phones,Motorola Droid Maxx
315,OFF-AP-10003842,Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum
316,FUR-TA-10001086,Furniture,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine"
317,FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets
318,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings
319,OFF-PA-10003309,Office Supplies,Paper,Xerox 211
